Reward,Action
-7.81838866168978,0.0
-7.80950609635421,0.0
-7.814967360310085,0.0
-7.815792200470053,0.0
-7.803478941285182,0.0
-7.783429752386907,0.0
-7.767674516014775,0.0
-7.765783722939548,0.0
-7.7808623203070395,0.0
-7.810669405653753,0.0
-7.851160649354374,0.0
-7.900303694446266,0.0
-7.960414867127455,0.0
-8.03698375252477,0.0
-8.133011567249891,0.0
-8.24151903153492,0.0
-8.342864517299608,0.0
-8.414951153518274,0.0
-8.44632982123774,0.0
-8.440864635197423,0.0
-8.410146787199949,0.0
-8.363211686732337,0.0
-8.302724146576631,0.0
-8.228493436705282,0.0
-8.141908417417802,0.0
-8.04790651489058,0.0
-7.955448220476651,0.0
-7.877629004006156,0.0
-7.827726972077195,0.0
-7.809881444875756,0.0
-7.812795418906806,0.0
-7.8168590839119005,0.0
-7.808986268641297,0.0
-7.79032296373752,0.0
-7.771783574434157,0.0
-7.7645297115887475,0.0
-7.773934691629241,0.0
-7.799287609198713,0.0
-7.836509405017278,0.0
-7.882710437548005,0.0
-7.938634108335548,0.0
-8.008996928222498,0.0
-8.09860609034948,0.0
-8.204491189358164,0.0
-8.310940755461253,0.0
-8.39495466322767,0.0
-8.440324443463792,0.0
-8.446128290581255,0.0
-8.42262370130834,0.0
-8.380574922745408,0.0
-8.324644997371244,0.0
-8.255037883555667,0.0
-8.172257583780075,0.0
-8.08003639449342,0.0
-7.985706641277434,0.0
-7.901322597998456,0.0
-7.84087137358258,0.0
-7.812720212641051,0.0
-7.810702914975393,0.0
-7.816711948071093,0.0
-7.813194379374142,0.0
-7.797240995234029,0.0
-7.777238868316212,0.0
-7.765237660258323,0.0
-7.768853638504256,0.0
-7.789139900638464,0.0
-7.822851120570586,0.0
-7.866189157297657,0.0
-7.91843584170609,0.0
-7.9832656770716435,0.0
-8.066205878628757,0.0
-8.16767774341004,0.0
-8.276404957869854,0.0
-8.370426818931042,0.0
-8.42972449079925,0.0
-8.448076709330754,0.0
-8.433060457396396,0.0
-8.396405559257024,0.0
-8.34500925805412,0.0
-8.280067258210527,0.0
-8.201498737149032,0.0
-8.111768872786211,0.0
-8.017067189799088,0.0
-7.927789972748574,0.0
-7.857826627006563,0.0
-7.818639459597885,0.0
-7.809475816876329,0.0
-7.8148888886891426,0.0
-7.815858382782468,0.0
-7.803675875577808,0.0
-7.783651374853359,0.0
-7.767780275216988,0.0
-7.765701020904207,0.0
-7.780586849717217,0.0
-7.810245473208358,0.0
-7.8506339325492505,0.0
-7.899669888481983,0.0
-7.95962735110428,0.0
-8.03597500684229,0.0
-8.131790986546648,0.0
-8.249301590409013,0.1
-8.356051736503346,0.1
-8.43369201040082,0.1
-8.47101239451234,0.1
-8.471857164445826,0.1
-8.447711939543371,0.1
-8.407270545617468,0.1
-8.352661268119721,0.1
-8.28333377314098,0.1
-8.200243117896122,0.1
-8.107767959590786,0.1
-8.014176463249903,0.1
-7.931710726631141,0.1
-7.8728906610212155,0.1
-7.8412798689191705,0.1
-7.825282997190094,0.1
-7.805160457865391,0.1
-7.7666113146887925,0.1
-7.7113486609650375,0.1
-7.650402307779365,0.1
-7.596182825484737,0.1
-7.555759945308377,0.1
-7.53059533563185,0.1
-7.518940733771016,0.1
-7.519738616719039,0.1
-7.535619882407176,0.1
-7.573806113484142,0.1
-7.638415770042904,0.1
-7.728391644346581,0.1
-7.825602414689982,0.1
-7.904924707162616,0.1
-7.947612497281074,0.1
-7.950935910001721,0.1
-7.92438694017262,0.1
-7.878112095534108,0.1
-7.816400527024682,0.1
-7.739503719260271,0.1
-7.648575885103968,0.1
-7.548101450199978,0.1
-7.446222564058712,0.1
-7.356071151770449,0.1
-7.292545947431318,0.1
-7.261785000846147,0.1
-7.253077736221508,0.1
-7.244990755062531,0.1
-7.221073098383425,0.1
-7.18028204507166,0.1
-7.133965376868239,0.1
-7.096843149678559,0.1
-7.078578199762512,0.1
-7.0821430650689345,0.1
-7.105689799203851,0.1
-7.1466527075768145,0.1
-7.2049308738589195,0.1
-7.282801959475902,0.1
-7.381800251080789,0.1
-7.499686379173696,0.1
-7.627423879198319,0.1
-7.751459410736827,0.1
-7.858290418007294,0.1
-7.94123158309256,0.1
-8.00119972330017,0.1
-8.043026340169792,0.1
-8.069911397406573,0.1
-8.082265811652233,0.1
-8.079817640804112,0.1
-8.064389014309473,0.1
-8.039996422049985,0.1
-8.012245840179233,0.1
-7.988302587407496,0.1
-7.974893844238614,0.1
-7.973827698347875,0.1
-7.97881190784119,0.1
-7.978095006155817,0.1
-7.9624886834841275,0.1
-7.931903778009559,0.1
-7.894777057813675,0.1
-7.862043660207752,0.1
-7.841525903272323,0.1
-7.83581420805388,0.1
-7.843713162689461,0.1
-7.863616461191448,0.1
-7.89785670676179,0.1
-7.951457339018982,0.1
-8.029318507200191,0.1
-8.130059650590262,0.1
-8.242486798464595,0.1
-8.345705613402805,0.1
-8.420433343953045,0.1
-8.459719964937108,0.1
-8.469413573287799,0.1
-8.459801160763803,0.1
-8.436935615191077,0.1
-8.4014231096455,0.1
-8.352794561038245,0.1
-8.292921948535735,0.1
-8.226541398933911,0.1
-8.161451260223533,0.1
-8.108168139139362,0.1
-8.075521872963614,0.1
-8.046702894360754,0.0
-8.036710454782318,0.0
-8.018678742547891,0.0
-7.98243149412503,0.0
-7.930813766857801,0.0
-7.875623758853641,0.0
-7.82811441845054,0.0
-7.794668922297432,0.0
-7.775335130960627,0.0
-7.767458412062768,0.0
-7.769858404631459,0.0
-7.785594259517261,0.0
-7.821123097241512,0.0
-7.87893326750666,0.0
-7.955559649211542,0.0
-8.032821706365965,0.0
-8.086905778514023,0.0
-8.101769143856142,0.0
-8.076857747117186,0.0
-8.022663364224435,0.0
-7.950058157637408,0.0
-7.863870650246528,0.0
-7.7649643055930255,0.0
-7.655157486158706,0.0
-7.53940992641384,0.0
-7.426198293169472,0.0
-7.325401054238045,0.0
-7.251138580775398,0.0
-7.210042854404242,0.0
-7.195389684694358,0.0
-7.188406725674832,0.0
-7.170602332625826,0.0
-7.135842781093851,0.0
-7.0912618539582635,0.0
-7.048694597603912,0.0
-7.016575983755054,0.0
-6.997657815616484,0.0
-6.990834989077092,0.0
-6.9944765852355575,0.0
-7.009840988456931,0.0
-7.043010169970458,0.0
-7.101832436749516,0.0
-7.187779737994813,0.0
-7.2881418868121015,0.0
-7.378139063404998,0.0
-7.435358445549378,0.0
-7.4534590092181805,0.0
-7.4415355175551845,0.0
-7.412750451483177,0.0
-7.375288827879905,0.0
-7.331388649409865,0.0
-7.282277497797256,0.0
-7.2261308418277865,0.0
-7.1703923565805505,0.0
-7.120378324052271,0.0
-7.083756483880734,0.0
-7.066434652837741,0.0
-7.072266100920732,0.0
-7.097499588737648,0.0
-7.1323589217379695,0.0
-7.167353556823299,0.0
-7.200016862644229,0.0
-7.234957551929169,0.0
-7.278693651767784,0.0
-7.335088470505128,0.0
-7.4043350457683825,0.0
-7.484312505292261,0.0
-7.572878028593448,0.0
-7.667116005147189,0.0
-7.769150098214177,0.0
-7.87978352480109,0.0
-7.997937233746919,0.0
-8.117183084465424,0.0
-8.22383022724471,0.0
-8.302051541779333,0.0
-8.342469008974186,0.0
-8.346929918766744,0.0
-8.324320422222108,0.0
-8.28300794188216,0.0
-8.226854410666295,0.0
-8.157018622902633,0.0
-8.075419443321312,0.0
-7.9868131031426985,0.0
-7.899368965313821,0.0
-7.824328177250622,0.0
-7.773558445614407,0.0
-7.753178750538088,0.0
-7.754787370179362,0.0
-7.762919278226005,0.0
-7.761957358532516,0.0
-7.74861201316036,0.0
-7.7310275912343505,0.0
-7.720893358000259,0.0
-7.725724934987839,0.0
-7.746991254502351,0.0
-7.782019182263119,0.0
-7.827536510359436,0.0
-7.882808985675322,0.0
-7.950929913697041,0.0
-8.03631793648962,0.0
-8.148262549602835,0.1
-8.263184755770995,0.1
-8.364783494235077,0.1
-8.433300636955222,0.1
-8.460810693684294,0.1
-8.453042952842754,0.1
-8.421433487116778,0.1
-8.373667844641538,0.1
-8.312088392832681,0.1
-8.236790902694095,0.1
-8.149607858078856,0.1
-8.055705015159202,0.1
-7.964011992424104,0.1
-7.886657254466412,0.1
-7.834534284369351,0.1
-7.808634212568639,0.1
-7.795577291036447,0.1
-7.775720929184224,0.1
-7.736306773633496,0.1
-7.679855168982909,0.1
-7.617975904973747,0.1
-7.562511634951036,0.1
-7.520084467442246,0.1
-7.492040649956717,0.1
-7.4771103997079305,0.1
-7.4747794378132575,0.1
-7.488131922582293,0.1
-7.523408034799309,0.1
-7.585834288834332,0.1
-7.671662281612911,0.1
-7.763754551555786,0.1
-7.8371801212943515,0.1
-7.873728788606737,0.1
-7.870954097246688,0.1
-7.838029258923713,0.1
-7.7857663596731355,0.1
-7.718374821131322,0.1
-7.636657248342585,0.1
-7.541728726319181,0.1
-7.438066756367749,0.1
-7.334302397564376,0.1
-7.242981942565179,0.1
-7.178820304869399,0.1
-7.147857352832336,0.1
-7.139427071363825,0.1
-7.1317015637734,0.1
-7.107576956830897,0.1
-7.065108988635899,0.1
-7.015121040861912,0.1
-6.971696366414722,0.1
-6.924965056352976,0.0
-6.911125516003744,0.0
-6.917844073498405,0.0
-6.94254999335253,0.0
-6.983650618103282,0.0
-7.042295517179053,0.0
-7.12023844104373,0.0
-7.216386305966141,0.0
-7.324344253359858,0.0
-7.430913978728057,0.0
-7.529096899416817,0.0
-7.592983565474141,0.0
-7.636924362049063,0.0
-7.6594835126299206,0.0
-7.6653754151641005,0.0
-7.657148398561741,0.0
-7.635351450570329,0.0
-7.601746910183259,0.0
-7.560791996079602,0.0
-7.51893678796634,0.0
-7.4838346495287515,0.0
-7.463802347917038,0.0
-7.46460700623021,0.0
-7.485245605716268,0.0
-7.516791398012064,0.0
-7.547231727296541,0.0
-7.569418318557261,0.0
-7.585097457094974,0.0
-7.601690208245833,0.0
-7.626571743090059,0.0
-7.662821570575713,0.0
-7.70895846175161,0.0
-7.761245242196645,0.0
-7.817469481114298,0.0
-7.879397573769416,0.0
-7.952008155267007,0.0
-8.03932708090543,0.0
-8.139196781148161,0.0
-8.239352977578097,0.0
-8.321272158231434,0.0
-8.370655431899422,0.0
-8.385316034017288,0.0
-8.372167225990408,0.0
-8.340688389294668,0.0
-8.296075787835274,0.0
-8.240307243407948,0.0
-8.175153301058403,0.0
-8.104708973592128,0.0
-8.03585229365416,0.0
-7.977433975963923,0.0
-7.9485418453519685,-0.1
-7.941759199524481,-0.1
-7.958544187722068,-0.1
-7.988754150230411,-0.1
-8.020577015174213,-0.1
-8.047579523777825,-0.1
-8.070963102931325,-0.1
-8.0958876708458,-0.1
-8.12628648437608,-0.1
-8.161485523308883,-0.1
-8.199241904417018,-0.1
-8.238109407953816,-0.1
-8.281078387270767,-0.1
-8.334694985811431,-0.1
-8.402903508462964,-0.1
-8.479059180310264,-0.1
-8.543202848345729,-0.1
-8.573474552412621,-0.1
-8.5567452681462,-0.1
-8.494588111730383,-0.1
-8.398013492057327,-0.1
-8.278267773671546,-0.1
-8.142422181976857,-0.1
-7.994804624980559,-0.1
-7.84024562042734,-0.1
-7.686519973878413,-0.1
-7.545953066304418,-0.1
-7.435118680372957,-0.1
-7.368018216403917,-0.1
-7.344471103970397,-0.1
-7.346605405231269,-0.1
-7.350655165675938,-0.1
-7.342984790150895,-0.1
-7.3256500783230445,-0.1
-7.309244447670989,-0.1
-7.302563663240509,-0.1
-7.3083792579401985,-0.1
-7.325159387038156,-0.1
-7.3505397171288465,-0.1
-7.384006973602911,-0.1
-7.429247922491596,-0.1
-7.4926908105493215,-0.1
-7.576417453464751,-0.1
-7.669610758700846,-0.1
-7.748947021050835,-0.1
-7.7920320037197515,-0.1
-7.791543847990792,-0.1
-7.756002363667031,-0.1
-7.69918751205955,-0.1
-7.631211704882607,-0.1
-7.556331830733932,-0.1
-7.47583844130127,-0.1
-7.391609833620083,-0.1
-7.308788145561751,-0.1
-7.2357887018985725,-0.1
-7.181971860672864,-0.1
-7.1553690263056655,-0.1
-7.159657601124657,-0.1
-7.190381375765127,-0.1
-7.236355142808699,-0.1
-7.287792512101339,-0.1
-7.342721829225849,-0.1
-7.405413349887636,-0.1
-7.480409936508264,-0.1
-7.568587845563952,-0.1
-7.667596658802115,-0.1
-7.774071159139729,-0.1
-7.884784426929095,-0.1
-7.997144171020293,-0.1
-8.110632223703853,-0.1
-8.225544846410436,-0.1
-8.340154280560643,-0.1
-8.447304374384677,-0.1
-8.533694110194743,-0.1
-8.585526584234012,-0.1
-8.596721441138799,-0.1
-8.571517501119228,-0.1
-8.519386042876302,-0.1
-8.448520778696855,-0.1
-8.363225318731983,-0.1
-8.265606154759675,-0.1
-8.158039632018351,-0.1
-8.047202558883386,-0.1
-7.94350567900764,-0.1
-7.860573797901751,-0.1
-7.810826447232593,-0.1
-7.798003486514874,-0.1
-7.811327645926132,-0.1
-7.832064345474373,-0.1
-7.846991248454169,-0.1
-7.855963628651433,-0.1
-7.868068356828392,-0.1
-7.892497733685532,-0.1
-7.932680677550721,-0.1
-7.986610406965102,-0.1
-8.05012819933014,-0.1
-8.119490507474895,-0.1
-8.193538990990051,-0.1
-8.274910853880584,-0.1
-8.366201350915704,-0.1
-8.449955285924204,0.0
-8.539519303893908,0.0
-8.605216619788152,0.0
-8.630392830676518,0.0
-8.612120259639939,0.0
-8.559048570421817,0.0
-8.48204640132996,0.0
-8.388323649354666,0.0
-8.280101849495031,0.0
-8.158342416402665,0.0
-8.026275046898512,0.0
-7.891547930721645,0.0
-7.766536596355162,0.0
-7.666217949701151,0.0
-7.600478949606342,0.0
-7.565467472322445,0.0
-7.542675820490843,0.0
-7.512641523762343,0.0
-7.4683211041185835,0.0
-7.416695369378206,0.0
-7.370159462531517,0.0
-7.337622791804212,0.0
-7.321701640271532,0.0
-7.3210031201682115,0.0
-7.3332265783216535,0.0
-7.357547719642034,0.0
-7.396683028471137,0.0
-7.455767330809424,0.0
-7.536621298402075,0.0
-7.630334838083254,0.0
-7.7155921455743535,0.0
-7.76884633315832,0.0
-7.778241355819119,0.0
-7.747457726108995,0.0
-7.6878857096998345,0.0
-7.608544835192035,0.0
-7.5127505801483245,0.0
-7.4015718407870255,0.0
-7.278036239569255,0.0
-7.149062772740167,0.0
-7.026694315316988,0.0
-6.927983495818196,0.0
-6.867898762404121,0.0
-6.846887389577381,0.0
-6.847273172771695,0.0
-6.845729600653728,0.0
-6.830279813185785,0.0
-6.805835152711864,0.0
-6.7855891583161325,0.0
-6.782007252964616,0.0
-6.800487567454871,0.0
-6.841043178629977,0.0
-6.900414830251158,0.0
-6.975379671646261,0.0
-7.063554128576614,0.0
-7.16607492242352,0.0
-7.282299394117141,0.0
-7.408520184763549,0.0
-7.5363179421680835,0.0
-7.653389583923585,0.0
-7.747935084856997,0.0
-7.814722430387959,0.0
-7.855361241775831,0.0
-7.875124729934589,0.0
-7.878296916252192,0.0
-7.86653103657788,0.0
-7.840729705372347,0.0
-7.803497119701088,0.0
-7.759549124779698,0.0
-7.715870821629591,0.0
-7.680823806502796,0.0
-7.662398467310946,0.0
-7.663563148859699,0.0
-7.678255464220425,0.0
-7.693616753876773,0.0
-7.698751433863499,0.0
-7.692313733192871,0.0
-7.682003361825996,0.0
-7.677993395898232,0.0
-7.687010177187079,0.0
-7.710567736245944,0.0
-7.7464874142813445,0.0
-7.791922336368171,0.0
-7.846889470875394,0.0
-7.91451504938629,0.0
-7.9988796146033305,0.0
-8.099933399857886,0.0
-8.208391414840653,0.0
-8.305360763363225,0.0
-8.371258855561148,0.0
-8.397333266868106,0.0
-8.388279387808625,0.0
-8.355159867384321,0.0
-8.30627624489402,0.0
-8.244434709125706,0.0
-8.170204178510904,0.0
-8.085729843234418,0.0
-7.996325625289759,0.0
-7.910859701392482,0.0
-7.841383235761588,0.0
-7.808959760772526,-0.1
-7.801859011168932,-0.1
-7.813264442950983,-0.1
-7.824861272667116,-0.1
-7.823934114976959,-0.1
-7.811133503955623,-0.1
-7.796794819728411,-0.1
-7.791650766573588,-0.1
-7.801593389494922,-0.1
-7.826162538884951,-0.1
-7.861602663040841,-0.1
-7.90460571662307,-0.1
-7.955340908782088,-0.1
-8.01775109537925,-0.1
-8.095707906446767,-0.1
-8.18765090977377,-0.1
-8.275602222631486,-0.1
-8.340636897485215,-0.1
-8.363622950564528,-0.1
-8.341155920824972,-0.1
-8.282431184324684,-0.1
-8.199323660006753,-0.1
-8.099075162926555,-0.1
-7.984457133151436,-0.1
-7.857842260961867,-0.1
-7.724074498423372,-0.1
-7.591448856195506,-0.1
-7.471967258406712,-0.1
-7.379972055772694,-0.1
-7.3253827317467755,-0.1
-7.304497527766215,-0.1
-7.299346612965755,-0.1
-7.289578267613484,-0.1
-7.266084579719697,-0.1
-7.234183722719408,-0.1
-7.205347257253009,-0.1
-7.187667481097638,-0.1
-7.183054646299215,-0.1
-7.189917905475242,-0.1
-7.20674865520049,-0.1
-7.234017089485393,-0.1
-7.275486720784536,-0.1
-7.337264989870157,-0.1
-7.421378035876616,-0.1
-7.517712510773184,-0.1
-7.603501780349605,-0.1
-7.655584363224157,-0.1
-7.664890235066956,-0.1
-7.638623177380177,-0.1
-7.590291992609955,-0.1
-7.511587867031007,0.0
-7.435839857365026,0.0
-7.354505658424835,0.0
-7.267428091937506,0.0
-7.177932126757814,0.0
-7.092169472290814,0.0
-7.018460555314293,0.0
-6.964830803780393,0.0
-6.936043390350927,0.0
-6.932057016512004,0.0
-6.945222185232999,0.0
-6.965017976261325,0.0
-6.985651933122543,0.0
-7.009134393139914,0.0
-7.041433854597967,0.0
-7.086978291115927,0.0
-7.146452276006194,0.0
-7.218307204769334,0.0
-7.300830817512924,0.0
-7.392439307106476,0.0
-7.492275549612487,0.0
-7.6007135815056825,0.0
-7.718061023560169,0.0
-7.841295217229684,0.0
-7.9613473377549235,0.0
-8.063571717014314,0.0
-8.134269346519435,0.0
-8.168420951002094,0.0
-8.170441796724594,0.0
-8.148134727126127,0.0
-8.106996002443378,0.0
-8.048827372095129,0.0
-7.9752070073840375,0.0
-7.889269895508722,0.0
-7.797971089886315,0.0
-7.712160342457057,0.0
-7.645318584959685,0.0
-7.6090982517451415,0.0
-7.60554504942976,0.0
-7.62339705423471,0.0
-7.645283737201862,0.0
-7.660588424865187,0.0
-7.670503179471973,0.0
-7.685846304915725,0.0
-7.715705166566669,0.0
-7.762177035822686,0.0
-7.822710320696282,0.0
-7.892557304063083,0.0
-7.969503058433813,0.0
-8.054012047342324,0.0
