Reward,A1,A2
-4.000976366267419,0.09999984991787451,0.0721276763604441
-4.004027463516888,0.09999991032375853,0.04040253565985415
-3.9869919139802934,0.09999883355857113,0.04611417177052824
-3.9616975173747475,0.09999995669377422,0.051580083089536974
-3.9417028239950667,0.09999973756881697,0.04410913888283392
-3.9236660395878817,0.08665945047127141,0.03477879903838423
-3.909548568188221,0.0701678238015613,0.027491478143940762
-3.9065514138295505,0.05094566875650285,0.01933723442501364
-3.9110050590556455,0.02986402377410521,0.010457643866716375
-3.9254664966570867,0.007570100153154865,0.001991743942734798
-3.9493446205077802,-0.013210404598910677,0.00437304545070696
-3.975775587927027,-0.03676262216908945,0.00044436219996043033
-4.010096163944326,-0.05236337158270206,-0.000673856372708831
-4.047002742316536,-0.06992599246458815,-0.0022022588507408336
-4.081330157557094,-0.08532685085535402,-0.0003816907808054502
-4.108855776121772,-0.09723977575386174,0.0054510194849896245
-4.1254601084366085,-0.09999926133224213,0.013410236151998572
-4.128258847304381,-0.09999844848595173,0.022637170601985276
-4.115113056417838,-0.09999972657618653,0.03348880085605369
-4.08831727684131,-0.09999981878733763,0.035545928996128906
-4.053579900901057,-0.08930153460178857,0.04406584262736068
-4.014439155595857,-0.06924949700178938,0.05148251557447779
-3.9743549500947766,-0.04582463382689286,0.05700808624629462
-3.9378723850251816,-0.017742860499995298,0.06069567139010217
-3.903837455218955,0.014215554965552,0.062263934704122885
-3.8822632016528917,0.040284807773606074,0.060224943771065804
-3.871504892539667,0.07502030166801604,0.059289944692874616
-3.872532199497148,0.09999996057416083,0.05455425505315068
-3.889502105749665,0.09999997204796776,0.04725727812819572
-3.913975600654423,0.09999983946403315,0.04013997998249156
-3.939898597574376,0.09999993340513016,0.0307048247766929
-3.960652556205998,0.09999997851706512,0.019475713213124503
-3.974653341308005,0.09999995901222014,0.009224490783986676
-3.9813135252649388,0.09999995882780133,-0.0004441221009976834
-3.9745861624115966,0.0999999517829222,0.0020824767625514384
-3.9662341409642337,0.0999998803960863,-0.0044366861488735745
-3.9616875644138307,0.09999997979621901,-0.010436468278304115
-3.9645533349709146,0.09999996323721094,-0.01372308382849527
-3.9781642065294323,0.08659166145734352,-0.01474471003320876
-3.998283413397545,0.032458851500094296,-0.012716354090950593
-4.0223173629000355,-0.014153733130787036,-0.006763305608629502
-4.045073688021563,-0.06112151715506785,-0.0012960143536613978
-4.072707578293166,-0.09858291580500593,0.006197868127218162
-4.108474916688412,-0.09999991129945969,0.014606717733749625
-4.140882112623118,-0.09999970510463067,0.02412497113033775
-4.160022223767176,-0.09999989135242592,0.038962497740028204
-4.16321167066884,-0.09999978016335753,0.04689416801750427
-4.159917883781495,-0.09999993930283302,0.06152341956437337
-4.154974829017734,-0.09999974340649245,0.0754767384269651
-4.152674630789505,-0.09999995979274932,0.08697159018168024
-4.156293377276053,-0.09999959540078375,0.09524163697585934
-4.170841611617367,-0.09999982081423867,0.09999465514607007
-4.201865259112828,-0.0526919067315158,0.09999798958543372
-4.239319251362524,0.0010116120601093364,0.09694553128947744
-4.2808242395765035,0.04904548892362802,0.08802012668681572
-4.3201111187358245,0.09999926929958201,0.0819604935034735
-4.371596113498596,0.09999998813696465,0.07307151300647768
-4.425698901122294,0.09999986666436125,0.0622655294184137
-4.477628427543823,0.0999997621745918,0.04632562791325496
-4.52198788664561,0.09999998551489302,0.02759464339718725
-4.5563076824733635,0.09999998548739739,0.010604038726304143
-4.585629860166195,0.09999979585469813,-0.003962953100406295
-4.608844589210303,0.09999988015579198,-0.004694141617819605
